"Original","Renamed","SHA256"
"Screenshot (1).png","01-theater-main-menu.png","96EEA236A6287D3F7946A0086057F06043B5817396AB93B2763628D38BFF7149"
"Screenshot (2).png","02-lunar-mode-requirements.png","F97518A7EE9CBBDB33ED755D24862D676A5895201187FC454309752DF97D8DA3"
"Screenshot (3).png","03-opening-cast-selection.png","9082396DF1A95D965F093436F69ADE327C321258BDE6FD9627414BB202DCCC23"
"Screenshot (4).png","04-reserve-cast-selection.png","D1658A634D7FFD405BE90CA2B8962BC890F9A4655036570AF44F8236EFAE6E75"
"Screenshot (5).png","05-bloom-blessing-tree-preview.png","6B72325BFB3BA1B4A551A03BDCD24D36D3256A67230E661FFC8B7AA1064C7DB3"
"Screenshot (6).png","06-start-run-roster-confirmation.png","F8262035DA8C5EFF353C01506B0FF6521A7ED930061978098E4B6FF5C935B205"
"Screenshot (7).png","07-extra-cast-blessing-bonus.png","482253F525B2646FF8F5FDC6C452D3041FB7AA246EF63F73C19917B628D6FBE2"
"Screenshot (8).png","08-extra-cast-flower-bonus.png","ABE237B6D706E74B61CE6DC97368B71F45961F485305382F6489AF7F675B8DE0"
"Screenshot (9).png","09-act-1-event-selection.png","C9D589D4E476DD3A9EF7AA0A9E1DD8C42262102053E5C37B9E3E44D16FEE30C5"
"Screenshot (10).png","10-performance-details-character-roster.png","50703DCCE1EE8DC52CA23EE324E147303AAFE2AE793E1DC71349D57B547FA151"
"Screenshot (11).png","11-normal-battle-preview.png","BCAB8A717B0F84B40A00AFEED8DDAF0C4469D24823634DD1ECA33565F6FF374A"
"Screenshot (12).png","12-companion-event-selection.png","793ED4EDCF1DB4F4ED20191241BFCF67502A2AFAFFC0EFC24CE46B719864C8B2"
"Screenshot (13).png","13-quicken-blessing-acquired.png","BEC437E19248088466568A53B598059DE2DFD1872E3F9291ADE4B09E64240563"
"Screenshot (14).png","14-elite-battle-preview.png","19A9490E32C353FCE33EAB3F00231BE9C965B6117D4F0AA0195A5EF12777A301"
"Screenshot (15).png","15-battle-result-active-team.png","3AB25FEDD020CEF7B7F1B763609EA18BE2C77AEFE64F44FDA88E3445CE55E5FF"
"Screenshot (16).png","16-post-battle-recruitment.png","6EFC9F4B9D3A6D9CA903B1E9977B62375813EB7F94447ECE849F3CC5CE78E102"
"Screenshot (17).png","17-act-2-event-selection.png","3015E1F0EC5891762C541770B75FCAE8A15A89782A5BF394A913EB3949B3487F"
"Screenshot (18).png","18-performance-details-mystery-boons.png","C3344033D840986587C8A49ECB54CCF2105EB4067D4EFA2C13B26F75A9E452C3"
"Screenshot (19).png","19-performance-details-blessing-summary.png","103C71CBC181AF02E4155D97F39AC7EDD7B01BD01582703BBD9336F0D9861988"
"Screenshot (20).png","20-act-4-event-selection-one-sacred-rift.png","3F3C9F482468CE6B2D0ACB2A5EBA290C741AC9F54D4E229EAC984F8B1522B76D"
"Screenshot (21).png","21-battle-failure-actions.png","3056AA240023E6E51C289050F74B3695BD9989170A013D4DF4C3F771B5C113A3"
"Screenshot (22).png","22-paused-run-resume-and-rewind.png","334F23DC8800DC3A45C90318592255484287E7F6BDCDD6EC358E43E23FE2D1DA"
"Screenshot (23).png","23-rewind-result-act-4-roster.png","1E06AF2C0C0CC9D44A1A21C6121DD4F8649845060B43BA9CBD3EEE4578C50DD3"
